term,coef,se,t,p,ci_lo,ci_hi,event_time,group,outcome,n_obs,n_authors,n_clusters,cond,meaningful
k-4:HONEST_ERROR,-0.9200934545284332,0.15132374059858358,-6.0802981137584,1.1995930915276176e-09,-1.216687986101657,-0.6234989229552094,-4,HONEST_ERROR,publications_active_only,367028,36374,3196,22.937658841376475,
k-3:HONEST_ERROR,-0.3008528837793145,0.14045887131129456,-2.14192867257593,0.03219922217361648,-0.5761522715494518,-0.025553496009177168,-3,HONEST_ERROR,publications_active_only,367028,36374,3196,22.937658841376475,
k+0:HONEST_ERROR,0.6479965550385127,0.13960108671274168,4.641772999746776,3.4543223805805212e-06,0.374378425081539,0.9216146849954865,0,HONEST_ERROR,publications_active_only,367028,36374,3196,22.937658841376475,
k+1:HONEST_ERROR,0.07307740739397045,0.1830143271778257,0.3992988337080564,0.6896730263828914,-0.2856306738745679,0.4317854886625088,1,HONEST_ERROR,publications_active_only,367028,36374,3196,22.937658841376475,
k+2:HONEST_ERROR,0.4009315721446088,0.19744970332348655,2.0305503902821926,0.04230062456755568,0.013930153630575148,0.7879329906586424,2,HONEST_ERROR,publications_active_only,367028,36374,3196,22.937658841376475,
k+3:HONEST_ERROR,0.513882981732654,0.22590605935224028,2.2747640466402475,0.022920088099380287,0.07110710540226306,0.956658858063045,3,HONEST_ERROR,publications_active_only,367028,36374,3196,22.937658841376475,
k+4:HONEST_ERROR,0.9014426580092373,0.5942919909111963,1.5168346062128537,0.12930844736758518,-0.2633696441767076,2.0662549601951823,4,HONEST_ERROR,publications_active_only,367028,36374,3196,22.937658841376475,
k+5:HONEST_ERROR,0.6483300364379242,0.3666974580804882,1.7680243540047096,0.07705683232261196,-0.07039698139983264,1.367057054275681,5,HONEST_ERROR,publications_active_only,367028,36374,3196,22.937658841376475,
k+6:HONEST_ERROR,1.1686729284377424,0.42224797517637436,2.7677407522193183,0.005644633713174585,0.3410668970920486,1.996278959783436,6,HONEST_ERROR,publications_active_only,367028,36374,3196,22.937658841376475,
k-3:AUTHOR_MISCONDUCT,-4.080996206795275,2.1771160370911202,-1.874496415105168,0.06086203570442894,-8.34814363949387,0.18615122590332067,-3,AUTHOR_MISCONDUCT,citations,336784,48112,3612,14.246358996378298,
k+0:AUTHOR_MISCONDUCT,5.319139874834726,3.023811935455278,1.7590842249367118,0.07856320390681848,-0.607531518657618,11.24581126832707,0,AUTHOR_MISCONDUCT,citations,336784,48112,3612,14.246358996378298,
k+1:AUTHOR_MISCONDUCT,4.412477317210707,5.6686392009369735,0.7784015106273415,0.4363323484982542,-6.698055516625761,15.523010151047174,1,AUTHOR_MISCONDUCT,citations,336784,48112,3612,14.246358996378298,
k+2:AUTHOR_MISCONDUCT,4.478184516414926,7.123827250986074,0.6286205937679159,0.5295974747403283,-9.48451689551778,18.440885928347633,2,AUTHOR_MISCONDUCT,citations,336784,48112,3612,14.246358996378298,
k+3:AUTHOR_MISCONDUCT,5.032816885001867,8.331803804452989,0.6040488954279077,0.5458111347059569,-11.297518571725991,21.363152341729727,3,AUTHOR_MISCONDUCT,citations,336784,48112,3612,14.246358996378298,
k-3:EDITORIAL_COMPROMISE,-19.61753385457677,12.202837895757327,-1.6076206225272713,0.10791829279469889,-43.53509613026113,4.300028421107591,-3,EDITORIAL_COMPROMISE,citations,336784,48112,3612,14.246358996378298,
k+0:EDITORIAL_COMPROMISE,42.98775262505309,22.716111548463687,1.8923904530641555,0.05843897709608914,-1.5358260099357324,87.51133126004191,0,EDITORIAL_COMPROMISE,citations,336784,48112,3612,14.246358996378298,
k+1:EDITORIAL_COMPROMISE,50.7670835966679,26.989637658523034,1.8809842591805308,0.059974060114991845,-2.1326062140372457,103.66677340737306,1,EDITORIAL_COMPROMISE,citations,336784,48112,3612,14.246358996378298,
k+2:EDITORIAL_COMPROMISE,63.324123553679215,36.14838218434805,1.7517830599096087,0.07981111816276076,-7.52670552764296,134.17495263500138,2,EDITORIAL_COMPROMISE,citations,336784,48112,3612,14.246358996378298,
k+3:EDITORIAL_COMPROMISE,62.10237440573016,31.51148495335913,1.9707853976938665,0.04874842764165144,0.33986389714626597,123.86488491431405,3,EDITORIAL_COMPROMISE,citations,336784,48112,3612,14.246358996378298,
k-3:HONEST_ERROR,-25.230223637437053,3.499192244036304,-7.210299371358372,5.582201367815287e-13,-32.08864043574821,-18.371806839125895,-3,HONEST_ERROR,citations,336784,48112,3612,14.246358996378298,
k+0:HONEST_ERROR,34.61879744649172,5.423434368616301,6.383187311497627,1.734394849961518e-10,23.988866084003767,45.24872880897967,0,HONEST_ERROR,citations,336784,48112,3612,14.246358996378298,
k+1:HONEST_ERROR,62.296316471639045,11.793248676631523,5.282371141302228,1.2752252676051512e-07,39.18154906544126,85.41108387783683,1,HONEST_ERROR,citations,336784,48112,3612,14.246358996378298,
k+2:HONEST_ERROR,83.56316403235142,14.417763125489227,5.79584803169777,6.797679752423846e-09,55.30434830639254,111.8219797583103,2,HONEST_ERROR,citations,336784,48112,3612,14.246358996378298,
k+3:HONEST_ERROR,98.00948714633596,15.640231126914903,6.266498643851481,3.6925662527664826e-10,67.35463413758275,128.66434015508918,3,HONEST_ERROR,citations,336784,48112,3612,14.246358996378298,
