term,coef,se,t,p,ci_lo,ci_hi,event_time,group,outcome,spec,n_obs,n_authors,n_clusters,cond,career_band,subject_group,lag_band,income_group,meaningful
k+5:HONEST_ERROR,-0.07584683357879311,0.017264033836797647,-4.393343658602452,1.1162046879675813e-05,-0.1096843398989165,-0.042009327258669724,5,HONEST_ERROR,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+6:HONEST_ERROR,-0.0994108983799713,0.016208806932695028,-6.133141001232366,8.616072300071664e-10,-0.13118015996805354,-0.06764163679188905,6,HONEST_ERROR,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k-6:AUTHOR_MISCONDUCT,-0.21666666666666717,0.0792657183992332,-2.7334221027985177,0.006267994781691488,-0.37202747472916425,-0.061305858604170094,-6,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k-5:AUTHOR_MISCONDUCT,-0.17222222222222253,0.06725755200950477,-2.5606376841946945,0.01044802543834411,-0.3040470241608519,-0.040397420283593166,-5,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k-4:AUTHOR_MISCONDUCT,-0.10555555555555617,0.05774155152443894,-1.828069263273608,0.06753915723645432,-0.21872899654345648,0.007617885432344151,-4,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k-3:AUTHOR_MISCONDUCT,-0.05000000000000064,0.05934109101748735,-0.8425864631519168,0.3994597644927089,-0.16630853839427584,0.06630853839427456,-3,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k+0:AUTHOR_MISCONDUCT,-0.016666666666667395,0.04075144936328748,-0.4089834086166812,0.682551837004856,-0.09653950741871085,0.06320617408537606,0,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,0.0
k+1:AUTHOR_MISCONDUCT,-0.11666666666666725,0.05187100954542932,-2.2491689999688367,0.024501745953965592,-0.2183338453757087,-0.014999487957625776,1,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k+2:AUTHOR_MISCONDUCT,-0.10555555555555612,0.048092729646349586,-2.194833945416699,0.02817551151229214,-0.1998173056624013,-0.011293805448710934,2,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k+3:AUTHOR_MISCONDUCT,-0.10555555555555617,0.05066353928097947,-2.083461934432692,0.037209137944049786,-0.20485609254627593,-0.006255018564836401,3,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k+4:AUTHOR_MISCONDUCT,-0.17222222222222278,0.04799487003565229,-3.5883464648261367,0.00033278187363072753,-0.2662921674921013,-0.0781522769523443,4,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k+5:AUTHOR_MISCONDUCT,-0.17222222222222283,0.054009809339280984,-3.18872116619317,0.0014290364671341038,-0.27808144852721356,-0.0663629959172321,5,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k+6:AUTHOR_MISCONDUCT,-0.13888888888888953,0.05688100126469579,-2.441744797046908,0.014616475024121556,-0.25037565136769324,-0.027402126410085798,6,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k-6:EDITORIAL_COMPROMISE,-0.19565217391304338,0.0925664074509435,-2.1136412150026587,0.034545922853377764,-0.3770823325168926,-0.01422201530919412,-6,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k-5:EDITORIAL_COMPROMISE,-0.15217391304347783,0.11749238868987255,-1.2951810303657116,0.19525778713382858,-0.382458994875628,0.07811116878867236,-5,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k-4:EDITORIAL_COMPROMISE,-0.23913043478260837,0.10347463652756662,-2.3110053130643444,0.020832561426779028,-0.44194072237663895,-0.03632014718857779,-4,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k-3:EDITORIAL_COMPROMISE,-0.06521739130434755,0.07638610840614171,-0.8537860177087362,0.39322356315184237,-0.21493416378038532,0.08449938117169022,-3,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k+0:EDITORIAL_COMPROMISE,-0.152173913043478,0.11234467870068698,-1.3545271107045986,0.17556827009784692,-0.3723694832968245,0.0680216572098685,0,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k+1:EDITORIAL_COMPROMISE,-0.10869565217391276,0.10260096582240044,-1.0594018419091888,0.28941681120224594,-0.30979354518581764,0.0924022408379921,1,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k+2:EDITORIAL_COMPROMISE,-0.10869565217391274,0.05634378355778779,-1.929150747614089,0.05371215051354916,-0.2191294679471768,0.0017381635993513334,2,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k+3:EDITORIAL_COMPROMISE,-0.152173913043478,0.07374286280199552,-2.0635747957341315,0.03905804935430801,-0.2967099241353892,-0.007637901951566772,3,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
