treated_id,control_id,pseudo_retraction_year,arm,treated_position,career_band,income_group,treated_pre_pubs,control_pre_pubs,treated_pre_recent,control_pre_recent,treated_pre_early,control_pre_early,treated_pre_growth,control_pre_growth,match_distance
A5102897238,A5052007645,2017,HONEST_ERROR,middle,veteran (20y+),higher,9,9,6,6,3,3,0.5389965007326869,0.5389965007326869,0.0
A5108227873,A5000033801,2017,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,0,0,0,0,0,0,0.0,0.0,0.0
A5063342405,A5100619404,2017,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,61,62,43,44,18,18,1.0252810155825602,1.0467872208035236,0.04301241044192672
A5110497629,A5053884655,2017,HONEST_ERROR,middle,senior (10-20y),lower,16,16,4,4,12,12,-0.538996500732687,-0.538996500732687,0.0
A5074333034,A5069349117,2017,EDITORIAL_COMPROMISE,last,mid (5-10y),higher,9,9,2,2,7,7,-0.5007752879124892,-0.5007752879124892,0.0
A5109325652,A5000049660,2017,HONEST_ERROR,middle,senior (10-20y),higher,4,4,2,2,2,2,0.10536051565782634,0.10536051565782634,0.0
A5027733052,A5113797608,2017,AUTHOR_MISCONDUCT,first,senior (10-20y),higher,27,27,14,14,13,13,0.287682072451781,0.287682072451781,0.0
A5107852768,A5110815585,2017,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,11,11,9,9,2,2,0.9808292530117262,0.9808292530117262,0.0
A5076793591,A5063159746,2017,HONEST_ERROR,middle,veteran (20y+),higher,184,179,40,40,144,139,-0.9483300856187715,-0.9139624421145638,0.06873528700841547
A5040002855,A5100672554,2017,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,2,2,1,1,1,1,0.06453852113757114,0.06453852113757114,0.0
A5112510301,A5006047602,2017,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,1,1,0,0,1,1,-0.22314355131420976,-0.22314355131420976,0.0
A5004814722,A5045893425,2017,UNCONFIRMED_CONCERNS,last,veteran (20y+),higher,163,162,49,47,114,115,-0.5317588334324568,-0.5794184152316024,0.09531916359829129
A5039904527,A5075943630,2017,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,41,41,15,15,26,26,-0.2231435513142097,-0.2231435513142097,0.0
A5103224101,A5021089188,2017,HONEST_ERROR,middle,mid (5-10y),higher,2,2,1,1,1,1,0.06453852113757114,0.06453852113757114,0.0
